OID_,hhpkm,nvpkm,areakm,hhn,nvn,hvn,grid,Shape_Length,Shape_Area,row,col
1,3.000000000000000,0.000000000000000,2.560000000000000,8,0,8,3,6400.000000000000000,2560000.000000000000000,25,
2,2.333333333333333,0.666666666666667,2.560000000000000,6,2,4,4,6400.000000000000000,2560000.000000000000000,25,
3,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,5,6400.000000000000000,2560000.000000000000000,25,
4,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,6,6400.000000000000000,2560000.000000000000000,25,
5,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,7,6400.000000000000000,2560000.000000000000000,25,
6,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,8,6400.000000000000000,2560000.000000000000000,25,
7,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,9,6400.000000000000000,2560000.000000000000000,25,
8,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,10,6400.000000000000000,2560000.000000000000000,25,
9,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,11,6400.000000000000000,2560000.000000000000000,25,
10,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,12,6400.000000000000000,2560000.000000000000000,25,
11,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,13,6400.000000000000000,2560000.000000000000000,25,
12,37.500000000000000,0.500000000000000,2.560000000000000,96,1,95,14,6400.000000000000000,2560000.000000000000000,25,
13,74.000000000000000,0.500000000000000,2.560000000000000,189,1,188,15,6400.000000000000000,2560000.000000000000000,25,
14,187.500000000000000,2.500000000000000,2.560000000000000,480,6,474,16,6400.000000000000000,2560000.000000000000000,25,
15,248.000000000000000,1.750000000000000,2.560000000000000,635,4,631,17,6400.000000000000000,2560000.000000000000000,25,
16,364.750000000000000,4.250000000000000,2.560000000000000,934,11,923,18,6400.000000000000000,2560000.000000000000000,25,
17,385.500000000000000,6.500000000000000,2.560000000000000,987,17,970,19,6400.000000000000000,2560000.000000000000000,25,
18,400.750000000000000,5.250000000000000,2.560000000000000,1026,13,1013,20,6400.000000000000000,2560000.000000000000000,25,
